City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Country,Date
Kanlagay,5.8757,121.2915,26.68,77,100,2.75,PH,1632112873
Mataura,-46.1927,168.8643,12.97,65,70,3.18,NZ,1632112541
Nikolskoye,59.7035,30.7861,4.94,77,100,4.23,RU,1632112673
Sørland,67.667,12.6934,10.04,73,100,7.25,NO,1632112875
Mahébourg,-20.4081,57.7,22.16,68,40,4.63,MU,1632112566
Cape Town,-33.9258,18.4232,14.61,82,40,2.68,ZA,1632112558
Pisco,-13.7,-76.2167,16.03,82,90,3.6,PE,1632112598
Jamestown,42.097,-79.2353,12.81,93,1,0.89,US,1632112636
Manokwari,-0.8667,134.0833,27.73,77,98,3.2,ID,1632112862
Praia da Vitória,38.7333,-27.0667,20.14,88,40,4.78,PT,1632112881
Khatanga,71.9667,102.5,0.25,100,100,5.48,RU,1632112548
Pulsano,40.3821,17.3564,23.56,72,11,1.56,IT,1632112883
Qasigiannguit,68.8193,-51.1922,-4.86,71,100,2.1,GL,1632112884
Taltal,-25.4,-70.4833,14.81,76,0,1.64,CL,1632112886
Bredasdorp,-34.5322,20.0403,12.62,71,0,3.6,ZA,1632112623
Port Elizabeth,-33.918,25.5701,14.16,77,0,5.14,ZA,1632112616
Rikitea,-23.1203,-134.9692,23.24,77,9,6.35,PF,1632112533
Kruisfontein,-34.0033,24.7314,11.9,90,19,2.99,ZA,1632112889
Provideniya,64.3833,-173.3,3.06,48,40,5,RU,1632112758
Thompson,55.7435,-97.8558,11.09,87,90,3.6,CA,1632112718
Uyemskiy,64.4743,40.8524,2.03,93,40,2,RU,1632112892
New Norfolk,-42.7826,147.0587,7.88,70,59,2.68,AU,1632112642
Punta Arenas,-53.15,-70.9167,5.06,70,0,4.12,CL,1632112658
Dolores,-36.3132,-57.6792,14.46,96,100,2.76,AR,1632112895
Porto Walter,-8.2686,-72.7439,24.16,67,6,1,BR,1632112897
Hermanus,-34.4187,19.2345,14.33,85,30,7.63,ZA,1632112663
Airai,-8.9266,125.4092,25.75,31,10,3.4,TL,1632112900
Muros,42.7762,-9.0603,12.75,92,11,5.54,ES,1632112901
Itarema,-2.9248,-39.9167,25.41,80,48,6.8,BR,1632112822
Mount Isa,-20.7333,139.5,34.87,15,17,3.6,AU,1632112903
Bulgan,48.8125,103.5347,16.86,59,6,1.86,MN,1632112904
Vestmannaeyjar,63.4427,-20.2734,10.49,89,91,10.41,IS,1632112904
Chokurdakh,70.6333,147.9167,1.29,54,89,4.66,RU,1632112639
Henties Bay,-22.116,14.2845,10.48,91,0,3.13,NA,1632112906
Koutiala,12.3917,-5.4642,23.99,84,8,3.43,ML,1632112908
Lakatoro,-16.0999,167.4164,25.73,72,46,6.28,VU,1632112910
Hobart,-42.8794,147.3294,10.55,61,75,3.13,AU,1632112325
Puerto Ayora,-0.7393,-90.3518,20.86,90,61,3.13,EC,1632112653
Busselton,-33.65,115.3333,16.69,47,0,4.06,AU,1632112569
Kavieng,-2.5744,150.7967,28.78,70,93,2.68,PG,1632112687
Bilma,18.6853,12.9164,27.28,17,0,0.61,NE,1632112913
